[2023.08.30 10:53:09 - info ] Local executer inited, scale: 1, auto_clear: false, strict_sync: false, thread poolsize: 1, code_groups: 0
[2023.08.30 10:53:09 - info ] [exec_dw_etf]MiniImpactExecUnit SZSE.ETF.159901 inited, order price: BESTPX ¡À 0 ticks, order expired: 5 secs, order timespan:500 millisec, order qty: byrate @ 0.20 min_order: 0.00 is_cancel_unmanaged_order: true
[2023.08.30 13:00:54 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371654900 <= 1693371657669, execute later
[2023.08.30 13:01:00 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371660879 <= 1693371663662, execute later
[2023.08.30 13:01:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371666976 <= 1693371669751, execute later
[2023.08.30 13:01:09 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371669901 <= 1693371672330, execute later
[2023.08.30 13:01:12 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371672895 <= 1693371675990, execute later
[2023.08.30 13:01:15 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371675886 <= 1693371678657, execute later
[2023.08.30 13:01:18 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371678930 <= 1693371684990, execute later
[2023.08.30 13:01:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371681888 <= 1693371684990, execute later
[2023.08.30 13:01:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371684955 <= 1693371684990, execute later
[2023.08.30 13:01:27 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371687892 <= 1693371690671, execute later
[2023.08.30 13:01:45 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371705902 <= 1693371708670, execute later
[2023.08.30 13:02:15 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371735886 <= 1693371741770, execute later
[2023.08.30 13:02:18 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371738900 <= 1693371741770, execute later
[2023.08.30 13:02:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371741894 <= 1693371747510, execute later
[2023.08.30 13:02:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371744886 <= 1693371747510, execute later
[2023.08.30 13:02:27 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371747912 <= 1693371751920, execute later
[2023.08.30 13:02:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371750882 <= 1693371751920, execute later
[2023.08.30 13:02:33 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371753876 <= 1693371756658, execute later
[2023.08.30 13:02:42 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371762879 <= 1693371765651, execute later
[2023.08.30 13:02:45 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371765884 <= 1693371768650, execute later
[2023.08.30 13:02:54 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371774886 <= 1693371777653, execute later
[2023.08.30 13:03:03 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371783903 <= 1693371789700, execute later
[2023.08.30 13:03:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371789686 <= 1693371789700, execute later
[2023.08.30 13:03:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371786918 <= 1693371789700, execute later
[2023.08.30 13:03:09 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371789905 <= 1693371793900, execute later
[2023.08.30 13:03:12 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371792946 <= 1693371793900, execute later
[2023.08.30 13:03:15 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371795883 <= 1693371798665, execute later
[2023.08.30 13:03:19 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371799041 <= 1693371804260, execute later
[2023.08.30 13:03:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371801910 <= 1693371804260, execute later
[2023.08.30 13:03:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371804949 <= 1693371807640, execute later
[2023.08.30 13:03:33 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371813933 <= 1693371816702, execute later
[2023.08.30 13:03:36 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371816882 <= 1693371819652, execute later
[2023.08.30 13:03:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371819866 <= 1693371822320, execute later
[2023.08.30 13:03:45 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371825877 <= 1693371828652, execute later
[2023.08.30 13:03:51 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371831883 <= 1693371834657, execute later
[2023.08.30 13:04:00 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371843693 <= 1693371846370, execute later
[2023.08.30 13:04:00 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371840926 <= 1693371846370, execute later
[2023.08.30 13:04:03 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371843916 <= 1693371846689, execute later
[2023.08.30 13:04:12 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371852968 <= 1693371855734, execute later
[2023.08.30 13:04:15 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371855872 <= 1693371857920, execute later
[2023.08.30 13:04:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371861873 <= 1693371864645, execute later
[2023.08.30 13:04:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371864873 <= 1693371867652, execute later
[2023.08.30 13:04:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371870898 <= 1693371873670, execute later
[2023.08.30 13:04:34 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371873915 <= 1693371877220, execute later
[2023.08.30 13:04:36 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371876917 <= 1693371877220, execute later
[2023.08.30 13:04:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371879875 <= 1693371885770, execute later
[2023.08.30 13:04:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371883032 <= 1693371885770, execute later
[2023.08.30 13:04:51 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371894706 <= 1693371897270, execute later
[2023.08.30 13:04:52 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371892013 <= 1693371897270, execute later
[2023.08.30 13:04:54 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371894872 <= 1693371900070, execute later
[2023.08.30 13:04:57 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371897884 <= 1693371900655, execute later
[2023.08.30 13:05:00 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371903648 <= 1693371906090, execute later
[2023.08.30 13:05:00 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371900878 <= 1693371906090, execute later
[2023.08.30 13:05:03 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371903869 <= 1693371906090, execute later
[2023.08.30 13:05:09 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371909902 <= 1693371914580, execute later
[2023.08.30 13:05:12 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371912901 <= 1693371914580, execute later
[2023.08.30 13:05:19 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371918981 <= 1693371921750, execute later
[2023.08.30 13:05:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371924962 <= 1693371927860, execute later
[2023.08.30 13:05:40 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371939933 <= 1693371942701, execute later
[2023.08.30 13:05:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371948871 <= 1693371951650, execute later
[2023.08.30 13:05:54 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371954869 <= 1693371957641, execute later
[2023.08.30 13:05:57 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371957883 <= 1693371961710, execute later
[2023.08.30 13:06:00 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371960941 <= 1693371966090, execute later
[2023.08.30 13:06:03 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371963870 <= 1693371966090, execute later
