[2023.07.19 16:10:27 - info ] Trading sessions loaded
[2023.07.19 16:10:27 - info ] Commodities configuration file ../common/commodities_stk.json loaded
[2023.07.19 16:10:27 - info ] Contracts configuration file ../common/contracts_new.json loaded, 2 exchanges
[2023.07.19 16:10:28 - info ] ClosingTask of 600018[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603477[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603906[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688116[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603225[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601998[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603606[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603810[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603051[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600297[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601865[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600183[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 605128[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688186[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601611[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600398[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600016[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 605068[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603030[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601928[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603179[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600859[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601881[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603516[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 605088[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603665[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600966[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600839[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688598[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603323[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 605222[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601398[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 605166[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603377[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600483[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600535[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688026[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600903[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603806[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603685[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603708[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603081[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603313[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603612[SSE] done, 0 datas processed totally
